country,region
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
Democratic Republic of the Congo,Sub-Saharan Africa
Djibouti,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Réunion,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Sao Tome and Principe,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
United Republic of Tanzania,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Algeria,Northern Africa and Western Asia
Egypt,Northern Africa and Western Asia
Libya,Northern Africa and Western Asia
Morocco,Northern Africa and Western Asia
Sudan,Northern Africa and Western Asia
Tunisia,Northern Africa and Western Asia
Western Sahara,Northern Africa and Western Asia
Azerbaijan,Northern Africa and Western Asia
Armenia,Northern Africa and Western Asia
Bahrain,Northern Africa and Western Asia
Cyprus,Northern Africa and Western Asia
Georgia,Northern Africa and Western Asia
Iraq,Northern Africa and Western Asia
Israel,Northern Africa and Western Asia
Jordan,Northern Africa and Western Asia
Kuwait,Northern Africa and Western Asia
Lebanon,Northern Africa and Western Asia
State of Palestine,Northern Africa and Western Asia
Oman,Northern Africa and Western Asia
Qatar,Northern Africa and Western Asia
Saudi Arabia,Northern Africa and Western Asia
Syrian Arab Republic,Northern Africa and Western Asia
Turkey,Northern Africa and Western Asia
United Arab Emirates,Northern Africa and Western Asia
Yemen,Northern Africa and Western Asia
Kazakhstan,Central and Southern Asia
Kyrgyz Republic,Central and Southern Asia
Tajikistan,Central and Southern Asia
Turkmenistan,Central and Southern Asia
Uzbekistan,Central and Southern Asia
Afghanistan,Central and Southern Asia
Bangladesh,Central and Southern Asia
Bhutan,Central and Southern Asia
India,Central and Southern Asia
"Iran, Islamic Rep.",Central and Southern Asia
Maldives,Central and Southern Asia
Nepal,Central and Southern Asia
Pakistan,Central and Southern Asia
Sri Lanka,Central and Southern Asia
China,Eastern and South-Eastern Asia
"China, Hong Kong SAR",Eastern and South-Eastern Asia
"China, Macao SAR",Eastern and South-Eastern Asia
Democratic People's Republic of Korea,Eastern and South-Eastern Asia
Japan,Eastern and South-Eastern Asia
Mongolia,Eastern and South-Eastern Asia
"Korea, Rep.",Eastern and South-Eastern Asia
Brunei Darussalam,Eastern and South-Eastern Asia
Cambodia,Eastern and South-Eastern Asia
Indonesia,Eastern and South-Eastern Asia
Lao PDR,Eastern and South-Eastern Asia
Malaysia,Eastern and South-Eastern Asia
Myanmar,Eastern and South-Eastern Asia
Philippines,Eastern and South-Eastern Asia
Singapore,Eastern and South-Eastern Asia
Thailand,Eastern and South-Eastern Asia
Timor-Leste,Eastern and South-Eastern Asia
Viet Nam,Eastern and South-Eastern Asia
,
Anguilla,Latin America and the Caribbean
Antigua and Barbuda,Latin America and the Caribbean
Aruba,Latin America and the Caribbean
Bahamas,Latin America and the Caribbean
Barbados,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean
British Virgin Islands,Latin America and the Caribbean
Cayman Islands,Latin America and the Caribbean
Cuba,Latin America and the Caribbean
Curaçao,Latin America and the Caribbean
Dominica,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Grenada,Latin America and the Caribbean
Guadeloupe,Latin America and the Caribbean
Haiti,Latin America and the Caribbean
Jamaica,Latin America and the Caribbean
Martinique,Latin America and the Caribbean
Montserrat,Latin America and the Caribbean
Puerto Rico,Latin America and the Caribbean
Saint Kitts and Nevis,Latin America and the Caribbean
Saint Lucia,Latin America and the Caribbean
Saint Vincent and the Grenadines,Latin America and the Caribbean
Sint Maarten (Dutch part),Latin America and the Caribbean
Trinidad and Tobago,Latin America and the Caribbean
Turks and Caicos Islands,Latin America and the Caribbean
United States Virgin Islands,Latin America and the Caribbean
Belize,Latin America and the Caribbean
Honduras,Latin America and the Caribbean
Costa Rica,Latin America and the Caribbean
El Salvador,Latin America and the Caribbean
Guatemala,Latin America and the Caribbean
Mexico,Latin America and the Caribbean
Nicaragua,Latin America and the Caribbean
Panama,Latin America and the Caribbean
Argentina,Latin America and the Caribbean
Bolivia (Plurinational State of),Latin America and the Caribbean
Brazil,Latin America and the Caribbean
Chile,Latin America and the Caribbean
Colombia,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
