Entity,Code,Year,GrossEnrolmentRatio
Afghanistan,AFG,1970,31.34174919
Afghanistan,AFG,1971,32.21033859
Afghanistan,AFG,1972,32.50746918
Afghanistan,AFG,1973,32.87379837
Afghanistan,AFG,1974,33.43759918
Afghanistan,AFG,1975,33.31623077
Afghanistan,AFG,1976,34.29225922
Afghanistan,AFG,1977,35.12284088
Afghanistan,AFG,1978,36.62601089
Afghanistan,AFG,1980,44.77437973
Afghanistan,AFG,1981,48.54335022
Afghanistan,AFG,1982,17.6810894
Afghanistan,AFG,1984,22.65113068
Afghanistan,AFG,1985,24.69518089
Afghanistan,AFG,1986,26.69475937
Afghanistan,AFG,1988,33.49937057
Afghanistan,AFG,1989,31.18457031
Afghanistan,AFG,1990,30.09115028
Afghanistan,AFG,1991,28.6841507
Afghanistan,AFG,1993,31.15373039
Afghanistan,AFG,1994,43.12926865
Afghanistan,AFG,1995,46.24322891
Afghanistan,AFG,1998,33.31254959
Afghanistan,AFG,1999,27.04071999
Afghanistan,AFG,2000,22.33481026
Afghanistan,AFG,2001,22.20237923
Afghanistan,AFG,2002,73.3095932
Afghanistan,AFG,2003,99.24848938
Afghanistan,AFG,2004,111.2605591
Afghanistan,AFG,2005,104.1713715
Afghanistan,AFG,2006,107.817421
Afghanistan,AFG,2007,104.6908188
Afghanistan,AFG,2008,106.4537735
Afghanistan,AFG,2009,102.2252884
Afghanistan,AFG,2010,105.5209274
Afghanistan,AFG,2011,102.8096313
Afghanistan,AFG,2012,108.9285202
Afghanistan,AFG,2013,110.0654373
Afghanistan,AFG,2014,111.744133
Albania,ALB,1976,119.3476791
Albania,ALB,1978,114.998848
Albania,ALB,1979,112.2156525
Albania,ALB,1980,107.5305405
Albania,ALB,1981,105.0638504
Albania,ALB,1982,103.6651382
Albania,ALB,1983,102.7332687
Albania,ALB,1984,103.6929016
Albania,ALB,1985,103.9178391
Albania,ALB,1986,103.8384628
Albania,ALB,1987,101.7586594
Albania,ALB,1988,99.90882111
Albania,ALB,1989,99.78552246
Albania,ALB,1990,99.82147217
Albania,ALB,1991,101.6307907
Albania,ALB,1992,99.96878052
Albania,ALB,1993,98.94786072
Albania,ALB,1994,101.9895782
Albania,ALB,1995,104.5339584
Albania,ALB,1996,106.8230972
Albania,ALB,1997,108.5679626
Albania,ALB,1998,107.7334671
Albania,ALB,1999,106.3054581
Albania,ALB,2000,104.7495193
Albania,ALB,2001,103.473999
Albania,ALB,2002,101.5591965
Albania,ALB,2003,100.0177994
Albania,ALB,2004,98.38082123
Albania,ALB,2005,101.4723587
Albania,ALB,2006,99.59384155
Albania,ALB,2007,99.09313202
