Entity,Code,Year,GrossEnrolmentRatio
Afghanistan,AFG,1970,8.331609726
Afghanistan,AFG,1971,9.350290298
Afghanistan,AFG,1972,10.34860992
Afghanistan,AFG,1973,10.83168983
Afghanistan,AFG,1974,10.97640038
Afghanistan,AFG,1975,11.04102993
Afghanistan,AFG,1976,11.93622017
Afghanistan,AFG,1977,12.77696037
Afghanistan,AFG,1978,13.44863033
Afghanistan,AFG,1980,16.94214058
Afghanistan,AFG,1981,19.58523941
Afghanistan,AFG,1982,10.77396965
Afghanistan,AFG,1984,12.67881966
Afghanistan,AFG,1985,13.46313
Afghanistan,AFG,1986,12.4384203
Afghanistan,AFG,1988,13.54388046
Afghanistan,AFG,1989,13.01119995
Afghanistan,AFG,1990,11.22282982
Afghanistan,AFG,1991,16.30629921
Afghanistan,AFG,1993,16.52857018
Afghanistan,AFG,1994,23.15410042
Afghanistan,AFG,1995,22.56601906
Afghanistan,AFG,2001,13.04874039
Afghanistan,AFG,2003,13.31707954
Afghanistan,AFG,2004,18.6647892
Afghanistan,AFG,2005,19.78370094
Afghanistan,AFG,2006,29.93045998
Afghanistan,AFG,2007,30.0831604
Afghanistan,AFG,2008,40.22338104
Afghanistan,AFG,2009,46.73276138
Afghanistan,AFG,2010,53.24682999
Afghanistan,AFG,2011,54.61618042
Afghanistan,AFG,2012,56.67734146
Afghanistan,AFG,2013,56.68865967
Afghanistan,AFG,2014,55.65615845
Albania,ALB,1976,84.97827148
Albania,ALB,1978,86.51271057
Albania,ALB,1979,88.25961304
Albania,ALB,1980,90.20201874
Albania,ALB,1981,91.20017242
Albania,ALB,1982,87.0644989
Albania,ALB,1983,82.02883911
Albania,ALB,1984,82.28929138
Albania,ALB,1985,85.3397522
Albania,ALB,1986,88.47090912
Albania,ALB,1987,87.93179321
Albania,ALB,1988,88.72785187
Albania,ALB,1989,88.95281982
Albania,ALB,1990,90.26127625
Albania,ALB,1991,91.10520172
Albania,ALB,1992,77.92279816
Albania,ALB,1993,70.54801178
Albania,ALB,1994,68.96015167
Albania,ALB,1995,68.93170929
Albania,ALB,1996,68.13892365
Albania,ALB,1997,69.67037201
Albania,ALB,1998,71.655159
Albania,ALB,1999,71.91152954
Albania,ALB,2000,71.45279694
Albania,ALB,2001,72.905159
Albania,ALB,2002,73.00286102
Albania,ALB,2003,75.01898956
Albania,ALB,2004,74.17028046
Albania,ALB,2005,76.88706207
Albania,ALB,2006,77.95588684
Albania,ALB,2007,81.28086853
Albania,ALB,2008,83.64891815
Albania,ALB,2009,85.40930939
Albania,ALB,2010,88.41163635
Albania,ALB,2011,90.84835052
Albania,ALB,2012,92.74147034
Albania,ALB,2013,95.83157349
Albania,ALB,2014,96.42608643
Algeria,DZA,1971,10.03635979
Algeria,DZA,1972,12.07172012
Algeria,DZA,1973,13.52412033
Algeria,DZA,1974,14.74798012
Algeria,DZA,1975,16.02827072
Algeria,DZA,1976,18.39504051
Algeria,DZA,1977,21.51011086
Algeria,DZA,1978,25.32871056
Algeria,DZA,1979,27.99378014
Algeria,DZA,1980,30.06514931
Algeria,DZA,1981,32.18463135
Algeria,DZA,1982,35.23464966
Algeria,DZA,1983,38.52775955
Algeria,DZA,1984,41.89046097
Algeria,DZA,1985,45.0865097
Algeria,DZA,1986,49.42613983
Algeria,DZA,1987,51.91698837
Algeria,DZA,1988,52.97700119
Algeria,DZA,1989,59.65122986
Algeria,DZA,1990,59.12105179
Algeria,DZA,1991,57.57352066
Algeria,DZA,1992,57.27878189
Algeria,DZA,1993,57.39974976
Algeria,DZA,1994,58.40697861
Algeria,DZA,1995,58.33716965
Algeria,DZA,1996,58.63819885
Algeria,DZA,1997,59.1579895
Algeria,DZA,1999,65.27889252
Algeria,DZA,2000,64.72483063
Algeria,DZA,2001,68.4109726
Algeria,DZA,2002,71.5598526
Algeria,DZA,2003,73.75566101
Algeria,DZA,2004,77.21340179
Algeria,DZA,2005,78.78222656
Algeria,DZA,2006,79.7915802
Algeria,DZA,2007,70.28121185
Algeria,DZA,2008,76.75585175
Algeria,DZA,2009,93.07003021
Algeria,DZA,2010,97.17192078
Algeria,DZA,2011,99.86019135
Andorra,AND,1971,15.36828995
Andorra,AND,1972,14.71306038
Andorra,AND,1973,13.81904984
Andorra,AND,1974,17.33879089
Andorra,AND,1975,25.93955994
Andorra,AND,1976,34.14492035
Andorra,AND,1983,49.39144135
Angola,AGO,1971,6.234189987
Angola,AGO,1972,7.088359833
Angola,AGO,1973,8.125089645
Angola,AGO,1978,9.509900093
Angola,AGO,1980,12.18994999
Angola,AGO,1981,15.66874981
Angola,AGO,1982,11.06634998
Angola,AGO,1983,10.04539013
Angola,AGO,1984,12.50288963
Angola,AGO,1985,10.74186993
Angola,AGO,1986,12.27908993
Angola,AGO,1987,11.93807983
Angola,AGO,1988,10.07973957
Angola,AGO,1989,11.1814003
Angola,AGO,1990,10.37001991
Angola,AGO,1991,11.00465012
Angola,AGO,1992,12.4260397
Angola,AGO,1998,12.02812004
Angola,AGO,1999,12.02433014
Angola,AGO,2000,13.77945042
Angola,AGO,2001,15.57359028
Angola,AGO,2002,16.8075695
Angola,AGO,2008,23.55459023
Angola,AGO,2009,24.99245071
Angola,AGO,2010,28.78130913
Angola,AGO,2011,28.89871979
Antigua and Barbuda,ATG,1972,88.81265259
Antigua and Barbuda,ATG,1973,61.16551971
Antigua and Barbuda,ATG,1974,84.52497864
Antigua and Barbuda,ATG,1975,78.77970886
Antigua and Barbuda,ATG,1976,83.63346863
Antigua and Barbuda,ATG,1977,84.67179871
Antigua and Barbuda,ATG,1978,69.3401413
Antigua and Barbuda,ATG,1992,119.9712601
Antigua and Barbuda,ATG,2000,77.87454224
Antigua and Barbuda,ATG,2007,102.6722565
Antigua and Barbuda,ATG,2008,110.8712387
Antigua and Barbuda,ATG,2009,108.5225067
Antigua and Barbuda,ATG,2010,106.2067184
Antigua and Barbuda,ATG,2011,106.1165466
Antigua and Barbuda,ATG,2012,105.3935089
Antigua and Barbuda,ATG,2014,102.318222
Arab World,,1970,25.6551609
Arab World,,1971,25.58336067
Arab World,,1972,26.42971992
Arab World,,1973,27.37900925
Arab World,,1974,28.3338604
Arab World,,1975,29.86771011
Arab World,,1976,31.57843018
Arab World,,1977,33.59447098
Arab World,,1978,35.5606308
Arab World,,1979,37.15542984
Arab World,,1980,38.44884109
Arab World,,1981,39.42174149
Arab World,,1982,41.12229919
Arab World,,1983,42.43770981
Arab World,,1984,43.94105911
Arab World,,1985,45.64876938
Arab World,,1986,47.74497986
Arab World,,1987,49.04734039
Arab World,,1988,49.59600067
Arab World,,1989,50.34331894
Arab World,,1990,53.09989929
Arab World,,1991,53.10221863
Arab World,,1992,51.85363007
Arab World,,1993,52.43476105
Arab World,,1994,54.42391968
Arab World,,1995,54.35937881
Arab World,,1996,54.26361084
Arab World,,1997,55.57452011
Arab World,,1998,56.98625946
Arab World,,1999,58.47486877
Arab World,,2000,59.74517822
Arab World,,2001,61.17179871
Arab World,,2002,62.23492813
Arab World,,2003,64.03777313
Arab World,,2004,65.85385895
Arab World,,2005,65.93100739
Arab World,,2006,65.84793091
Arab World,,2007,64.69815826
Arab World,,2008,65.34229279
Arab World,,2009,66.8289032
Arab World,,2010,68.05088043
Arab World,,2011,70.69149017
Arab World,,2012,71.71656036
Arab World,,2013,70.27468872
Arab World,,2014,70.73504639
