Type,region,schoolType,Service Type,year,coverage,School-age population,serviceLevel
sdg,Australia and New Zealand,total,Drinking water,2000,100,4624763,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2000,100,2253504,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2000,100,1986559,Basic service
sdg,Australia and New Zealand,total,Drinking water,2001,100,4660362,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2001,100,2265770,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2001,100,2014967,Basic service
sdg,Australia and New Zealand,total,Drinking water,2002,100,4680953,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2002,100,2268210,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2002,100,2039088,Basic service
sdg,Australia and New Zealand,total,Drinking water,2003,100,4693580,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2003,100,2262123,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2003,100,2063051,Basic service
sdg,Australia and New Zealand,total,Drinking water,2004,100,4705579,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2004,100,2250035,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2004,100,2088574,Basic service
sdg,Australia and New Zealand,total,Drinking water,2005,100,4721657,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2005,100,2237193,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2005,100,2116013,Basic service
sdg,Australia and New Zealand,total,Drinking water,2006,100,4752025,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2006,100,2227028,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2006,100,2154882,Basic service
sdg,Australia and New Zealand,total,Drinking water,2007,100,4770287,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2007,100,2223197,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2007,100,2173272,Basic service
sdg,Australia and New Zealand,total,Drinking water,2008,100,4780785,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2008,100,2225908,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2008,100,2175266,Basic service
sdg,Australia and New Zealand,total,Drinking water,2009,100,4789685,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2009,100,2235445,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2009,100,2166742,Basic service
sdg,Australia and New Zealand,total,Drinking water,2010,100,4803557,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2010,100,2252472,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2010,100,2153828,Basic service
sdg,Australia and New Zealand,total,Drinking water,2011,100,4855342,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2011,100,2280271,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2011,100,2164725,Basic service
sdg,Australia and New Zealand,total,Drinking water,2012,100,4910605,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2012,100,2318928,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2012,100,2167474,Basic service
sdg,Australia and New Zealand,total,Drinking water,2013,100,4968471,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2013,100,2368110,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2013,100,2163783,Basic service
sdg,Australia and New Zealand,total,Drinking water,2014,100,5023643,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2014,100,2425299,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2014,100,2155712,Basic service
sdg,Australia and New Zealand,total,Drinking water,2015,100,5076084,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2015,100,2482905,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2015,100,2148572,Basic service
sdg,Australia and New Zealand,total,Drinking water,2016,100,5154670,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2016,100,2545153,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2016,100,2163514,Basic service
sdg,Australia and New Zealand,total,Drinking water,2017,100,5226528,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2017,100,2593638,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2017,100,2187741,Basic service
sdg,Australia and New Zealand,total,Drinking water,2018,100,5292288,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2018,100,2628434,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2018,100,2219847,Basic service
sdg,Australia and New Zealand,total,Drinking water,2019,100,5366507,Basic service
sdg,Australia and New Zealand,primary,Drinking water,2019,100,2651672,Basic service
sdg,Australia and New Zealand,secondary,Drinking water,2019,100,2261216,Basic service
sdg,Central and Southern Asia,total,Drinking water,2011,67.94214,368936996.9,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2011,67.22862,125042488.1,Basic service
sdg,Central and Southern Asia,secondary,Drinking water,2011,76.64365,193797377.5,Basic service
sdg,Central and Southern Asia,total,Drinking water,2012,66.78153,363677223.7,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2012,65.31263,121794800.5,Basic service
sdg,Central and Southern Asia,secondary,Drinking water,2012,77.14375,195817863.3,Basic service
sdg,Central and Southern Asia,total,Drinking water,2013,66.60512,363769939.9,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2013,64.89368,122052784,Basic service
sdg,Central and Southern Asia,secondary,Drinking water,2013,77.23608,196009700.7,Basic service
sdg,Central and Southern Asia,total,Drinking water,2014,67.10822,367505625.1,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2014,65.24277,123083853.6,Basic service
sdg,Central and Southern Asia,secondary,Drinking water,2014,77.55424,197681712.1,Basic service
sdg,Central and Southern Asia,total,Drinking water,2015,67.22157,368495188.5,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2015,65.29994,123426686.7,Basic service
sdg,Central and Southern Asia,secondary,Drinking water,2015,77.65105,198623681.7,Basic service
sdg,Central and Southern Asia,total,Drinking water,2016,67.33298,369239419.4,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2016,65.35536,123636907.9,Basic service
sdg,Central and Southern Asia,secondary,Drinking water,2016,77.74521,199420445.6,Basic service
sdg,Central and Southern Asia,total,Drinking water,2017,67.44627,369835175.6,Basic service
sdg,Central and Southern Asia,primary,Drinking water,2017,65.40828,123816001.6,Basic service
