Year,Service Type,Service Level,Coverage,Type,Region,Residence Type,Population
2000,Sanitation,Basic service,27.9313196795,world,World,total,1716381538.0458100
2000,Sanitation,Basic service,14.0816206351,world,World,rural,461413360.01719800
2000,Sanitation,Basic service,43.753021835,world,World,urban,1254968168.4779700
2000,Sanitation,Limited service,5.4519876109,world,World,total,335025018.0936230
2000,Sanitation,Limited service,3.6000839717,world,World,rural,117964180.74107300
2000,Sanitation,Limited service,7.567576379,world,World,urban,217060835.34037500
2000,Sanitation,Open defecation,21.4828899769,world,World,total,1320125084.0748200
2000,Sanitation,Open defecation,36.0745973134,world,World,rural,1182058627.2685800
2000,Sanitation,Open defecation,4.8135278177,world,World,urban,138066445.14926700
2000,Sanitation,Safely managed service,28.2048857411,world,World,total,1733192191.5685900
2000,Sanitation,Safely managed service,21.7568275078,world,World,rural,712907352.3444840
2000,Sanitation,Safely managed service,35.5710570926,world,World,urban,1020284828.295350
2000,Sanitation,Unimproved,16.9289169917,world,World,total,1040283127.2233000
2000,Sanitation,Unimproved,24.486870572,world,World,rural,802362847.2684330
2000,Sanitation,Unimproved,8.2948168757,world,World,urban,237920278.54931300
2000,Drinking water,Basic service,20.2443096897,world,World,total,1244014239.2335800
2000,Drinking water,Basic service,29.9472250794,world,World,rural,981282631.108114
2000,Drinking water,Basic service,9.1598349867,world,World,urban,262731597.835003
2000,Drinking water,Limited service,2.7955277012,world,World,total,171785371.77951300
2000,Drinking water,Limited service,3.8584910689,world,World,rural,126431422.54945800
2000,Drinking water,Limited service,1.5812132297,world,World,urban,45353947.85606230
2000,Drinking water,Safely managed service,61.2543373967,world,World,total,3764083295.7165500
2000,Drinking water,Safely managed service,39.436098448,world,World,rural,1292205148.994310
2000,Drinking water,Safely managed service,86.1791878577,world,World,urban,2471878124.3169100
2000,Drinking water,Surface water,4.1594602339,world,World,total,255599120.82999300
2000,Drinking water,Surface water,7.2978402174,world,World,rural,239128795.1037220
2000,Drinking water,Surface water,0.5742188832,world,World,urban,16470323.418404600
2000,Drinking water,Unimproved,11.5463649785,world,World,total,709524931.4403640
2000,Drinking water,Unimproved,19.4603451863,world,World,rural,637658369.8841720
2000,Drinking water,Unimproved,2.5055450427,world,World,urban,71866562.38589090
2001,Sanitation,Basic service,28.4341717223,world,World,total,1769575703.828610
2001,Sanitation,Basic service,14.4629889917,world,World,rural,475879930.0423220
2001,Sanitation,Basic service,44.1070278756,world,World,urban,1293695777.8734100
2001,Sanitation,Limited service,5.6590202733,world,World,total,352184156.4757630
2001,Sanitation,Limited service,3.860095344,world,World,rural,127009838.92842600
2001,Sanitation,Limited service,7.677052139100000,world,World,urban,225174318.40747400
2001,Sanitation,Open defecation,20.636239947,world,World,total,1284278268.5999300
2001,Sanitation,Open defecation,34.9165204177,world,World,rural,1148868418.7778900
2001,Sanitation,Open defecation,4.6166388594,world,World,urban,135409853.8948730
2001,Sanitation,Safely managed service,28.3966934006,world,World,total,1767243273.394260
2001,Sanitation,Safely managed service,22.0832713625,world,World,rural,726612295.502887
2001,Sanitation,Safely managed service,35.4790828959,world,World,urban,1040630982.3164900
2001,Sanitation,Unimproved,16.8738746568,world,World,total,1050130769.1936300
2001,Sanitation,Unimproved,24.6771238841,world,World,rural,811958578.8491220
2001,Sanitation,Unimproved,8.12019823,world,World,urban,238172161.48126600
2001,Drinking water,Basic service,20.1006280376,world,World,total,1250944931.8383700
2001,Drinking water,Basic service,29.7984113474,world,World,rural,980465788.607799
2001,Drinking water,Basic service,9.2216667017,world,World,urban,270479147.01014700
2001,Drinking water,Limited service,2.8425143886,world,World,total,176901386.43654900
2001,Drinking water,Limited service,3.9467871736,world,World,rural,129862285.39222200
2001,Drinking water,Limited service,1.6037425487,world,World,urban,47039101.566779600
2001,Drinking water,Safely managed service,61.70454247070000,world,World,total,3840128006.4851100
2001,Drinking water,Safely managed service,39.9261237374,world,World,rural,1313700852.7019400
2001,Drinking water,Safely managed service,86.1355468662,world,World,urban,2526427163.0341400
2001,Drinking water,Surface water,4.0784834839,world,World,total,253820837.54933100
2001,Drinking water,Surface water,7.2047858357,world,World,rural,237061162.21414800
2001,Drinking water,Surface water,0.5714013417,world,World,urban,16759676.152140500
2001,Drinking water,Unimproved,11.2738316193,world,World,total,701617009.1890510
2001,Drinking water,Unimproved,19.1238919059,world,World,rural,629238973.184541
2001,Drinking water,Unimproved,2.4676425417,world,World,urban,72378006.21030090
2002,Sanitation,Basic service,29.2499731972,world,World,total,1843377099.1925800
2002,Sanitation,Basic service,15.3922946231,world,World,rural,507999253.2514490
2002,Sanitation,Basic service,44.4858746622,world,World,urban,1335377844.3085200
2002,Sanitation,Limited service,5.8762534217,world,World,total,370330287.60692200
2002,Sanitation,Limited service,4.136058003400000,world,World,rural,136504298.32460700
2002,Sanitation,Limited service,7.7895208952,world,World,urban,233825988.59109300
2002,Sanitation,Open defecation,19.9255647969,world,World,total,1255738922.8171800
2002,Sanitation,Open defecation,34.0102536326,world,World,rural,1122456649.337030
2002,Sanitation,Open defecation,4.4400752369,world,World,urban,133282264.1668150
