country,year,gini,gdp,basic,safe,region
France,2000,31.1,22364,99.9,96.8,Europe and Northern America
France,2003,31.4,29568.4,99.9,96.8,Europe and Northern America
France,2004,30.6,33741.3,99.9,96.9,Europe and Northern America
France,2005,29.8,34760.2,99.9,97,Europe and Northern America
France,2006,29.7,36443.6,99.9,97,Europe and Northern America
France,2007,32.4,41508.4,100,97.1,Europe and Northern America
France,2008,33,45334.1,100,97.2,Europe and Northern America
France,2009,32.7,41575.4,100,97.3,Europe and Northern America
France,2010,33.7,40638.3,100,97.3,Europe and Northern America
France,2011,33.3,43790.7,100,97.4,Europe and Northern America
France,2012,33.1,40874.7,100,97.5,Europe and Northern America
France,2013,32.5,42592.9,100,97.6,Europe and Northern America
France,2014,32.3,43011.3,100,97.6,Europe and Northern America
France,2015,32.7,36638.2,100,97.7,Europe and Northern America
France,2016,31.9,37037.4,100,97.8,Europe and Northern America
France,2017,31.6,38812.2,100,97.9,Europe and Northern America
Germany,2000,28.8,23635.9,100,99.8,Europe and Northern America
Germany,2001,30.3,23607.9,100,99.8,Europe and Northern America
Germany,2002,29.9,25077.7,100,99.8,Europe and Northern America
Germany,2003,30,30243.6,100,99.8,Europe and Northern America
Germany,2004,30.4,34044.1,100,99.8,Europe and Northern America
Germany,2005,32.1,34507.4,100,99.8,Europe and Northern America
Germany,2006,31.3,36323.4,100,99.8,Europe and Northern America
Germany,2007,31.3,41587.2,100,99.8,Europe and Northern America
Germany,2008,31.1,45427.2,100,99.8,Europe and Northern America
Germany,2009,30.5,41485.9,100,99.8,Europe and Northern America
Germany,2010,30.2,41531.9,100,99.8,Europe and Northern America
Germany,2011,30.5,46644.8,100,99.8,Europe and Northern America
Germany,2012,30.9,43858.4,100,99.8,Europe and Northern America
Germany,2013,31.1,46285.8,100,99.8,Europe and Northern America
Germany,2014,30.9,47960,100,99.8,Europe and Northern America
Germany,2015,31.7,41086.7,100,99.8,Europe and Northern America
Germany,2016,31.9,42107.5,100,99.8,Europe and Northern America
Italy,2000,35.3,20087.6,100,86.5,Europe and Northern America
Italy,2003,34.9,27465.7,99.9,88.1,Europe and Northern America
Italy,2004,34.3,31259.7,99.9,88.7,Europe and Northern America
Italy,2005,33.8,32043.1,99.9,89.2,Europe and Northern America
Italy,2006,33.7,33501.7,99.8,89.7,Europe and Northern America
Italy,2007,32.9,37822.7,99.8,90.2,Europe and Northern America
Italy,2008,33.8,40778.3,99.7,90.8,Europe and Northern America
Italy,2009,33.8,37079.8,99.7,91.3,Europe and Northern America
Italy,2010,34.7,36000.5,99.6,91.8,Europe and Northern America
Italy,2011,35.1,38599.1,99.6,92.3,Europe and Northern America
Italy,2012,35.2,35053.5,99.5,92.9,Europe and Northern America
Italy,2013,34.9,35550,99.5,93.4,Europe and Northern America
Italy,2014,34.7,35518.4,99.4,93.9,Europe and Northern America
Italy,2015,35.4,30230.2,99.4,94.5,Europe and Northern America
Italy,2016,35.2,30939.7,99.4,95,Europe and Northern America
Italy,2017,35.9,32406.7,99.4,95,Europe and Northern America
Japan,2008,34.8,39339.3,98.6,98,Eastern and South-Eastern Asia
Japan,2010,32.1,44507.7,98.7,98.1,Eastern and South-Eastern Asia
Japan,2013,32.9,40454.4,98.8,98.3,Eastern and South-Eastern Asia
"Korea, Rep.",2006,31.7,21743.5,98.6,96.8,Eastern and South-Eastern Asia
