region,year,service_type,service_level,total,rural,urban
Australia and New Zealand,2000,Sanitation,Safely managed service,60.61081,NA,NA
Australia and New Zealand,2000,Drinking water,At least basic,99.76073,99.20021,NA
Australia and New Zealand,2000,Drinking water,Safely managed service,NA,NA,91.94729
Australia and New Zealand,2001,Sanitation,Safely managed service,60.73339,NA,NA
Australia and New Zealand,2001,Drinking water,At least basic,99.75993,99.19873,NA
Australia and New Zealand,2001,Drinking water,Safely managed service,NA,NA,92.32159
Australia and New Zealand,2002,Sanitation,Safely managed service,60.85847,NA,NA
Australia and New Zealand,2002,Drinking water,At least basic,99.76086,99.19954,NA
Australia and New Zealand,2002,Drinking water,Safely managed service,NA,NA,92.69442
Australia and New Zealand,2003,Sanitation,Safely managed service,60.98474,NA,NA
Australia and New Zealand,2003,Drinking water,At least basic,99.7794,99.26959,NA
Australia and New Zealand,2003,Drinking water,Safely managed service,NA,NA,93.08311
Australia and New Zealand,2004,Sanitation,Safely managed service,61.10978,NA,NA
Australia and New Zealand,2004,Drinking water,At least basic,99.79771,99.33933,NA
Australia and New Zealand,2004,Drinking water,Safely managed service,NA,NA,93.46957
Australia and New Zealand,2005,Sanitation,Safely managed service,61.93829,NA,NA
Australia and New Zealand,2005,Drinking water,At least basic,99.81579,99.4087,NA
Australia and New Zealand,2005,Drinking water,Safely managed service,NA,NA,93.85296
Australia and New Zealand,2006,Sanitation,Safely managed service,62.76296,NA,NA
Australia and New Zealand,2006,Drinking water,At least basic,99.83363,99.47778,NA
Australia and New Zealand,2006,Drinking water,Safely managed service,NA,NA,94.23349
Australia and New Zealand,2007,Sanitation,Safely managed service,63.58488,NA,NA
Australia and New Zealand,2007,Drinking water,At least basic,99.8513,99.54733,NA
Australia and New Zealand,2007,Drinking water,Safely managed service,NA,NA,94.61111
Australia and New Zealand,2008,Sanitation,Safely managed service,64.40571,NA,NA
Australia and New Zealand,2008,Drinking water,At least basic,99.86884,99.61668,NA
Australia and New Zealand,2008,Drinking water,Safely managed service,NA,NA,94.98883
Australia and New Zealand,2009,Sanitation,Safely managed service,65.22757,NA,NA
Australia and New Zealand,2009,Drinking water,At least basic,99.88629,99.68595,NA
Australia and New Zealand,2009,Drinking water,Safely managed service,NA,NA,95.36814
Australia and New Zealand,2010,Sanitation,Safely managed service,66.05177,NA,NA
Australia and New Zealand,2010,Drinking water,At least basic,99.90365,99.75518,NA
Australia and New Zealand,2010,Drinking water,Safely managed service,NA,NA,95.74971
Australia and New Zealand,2011,Sanitation,Safely managed service,66.87858,NA,NA
Australia and New Zealand,2011,Drinking water,At least basic,99.92094,99.82432,NA
Australia and New Zealand,2011,Drinking water,Safely managed service,NA,NA,96.13346
Australia and New Zealand,2012,Sanitation,Safely managed service,67.70742,NA,NA
Australia and New Zealand,2012,Drinking water,At least basic,99.93811,99.89316,NA
Australia and New Zealand,2012,Drinking water,Safely managed service,NA,NA,96.51974
Australia and New Zealand,2013,Sanitation,Safely managed service,68.53777,NA,NA
Australia and New Zealand,2013,Drinking water,At least basic,99.95519,99.96204,NA
Australia and New Zealand,2013,Drinking water,Safely managed service,NA,NA,96.534
Australia and New Zealand,2014,Sanitation,Safely managed service,69.36884,NA,NA
Australia and New Zealand,2014,Drinking water,At least basic,99.96775,100,NA
Australia and New Zealand,2014,Drinking water,Safely managed service,NA,NA,96.54404
Australia and New Zealand,2015,Sanitation,Safely managed service,70.20013,NA,NA
Australia and New Zealand,2015,Drinking water,At least basic,99.97488,100,NA
Australia and New Zealand,2015,Drinking water,Safely managed service,NA,NA,96.54873
Australia and New Zealand,2016,Sanitation,Safely managed service,71.0316,NA,NA
Australia and New Zealand,2016,Drinking water,At least basic,99.97483,100,NA
Australia and New Zealand,2016,Drinking water,Safely managed service,NA,NA,96.5464
Australia and New Zealand,2017,Sanitation,Safely managed service,71.86345,NA,NA
Australia and New Zealand,2017,Drinking water,At least basic,99.97479,100,NA
Australia and New Zealand,2017,Drinking water,Safely managed service,NA,NA,96.544
Central and Southern Asia,2000,Sanitation,At least basic,25.45183,NA,57.21913
Central and Southern Asia,2000,Sanitation,Safely managed service,NA,6.90526,NA
Central and Southern Asia,2000,Drinking water,Safely managed service,41.35686,30.99076,65.96244
Central and Southern Asia,2001,Sanitation,At least basic,27.4513,NA,58.08543
Central and Southern Asia,2001,Sanitation,Safely managed service,NA,7.8197,NA
Central and Southern Asia,2001,Drinking water,Safely managed service,42.41881,32.40808,65.86797
Central and Southern Asia,2002,Sanitation,At least basic,29.52449,NA,59.00724
Central and Southern Asia,2002,Sanitation,Safely managed service,NA,8.8508,NA
Central and Southern Asia,2002,Drinking water,Safely managed service,43.52746,33.87934,65.76688
Central and Southern Asia,2003,Sanitation,At least basic,31.60654,NA,59.93573
Central and Southern Asia,2003,Sanitation,Safely managed service,NA,11.39468,NA
Central and Southern Asia,2003,Drinking water,Safely managed service,44.63833,35.3692,65.6633
Central and Southern Asia,2004,Sanitation,At least basic,33.69872,NA,60.87241
Central and Southern Asia,2004,Sanitation,Safely managed service,NA,13.84784,NA
Central and Southern Asia,2004,Drinking water,Safely managed service,45.75596,36.88049,65.56421
Central and Southern Asia,2005,Sanitation,At least basic,35.80346,NA,61.78644
Central and Southern Asia,2005,Sanitation,Safely managed service,NA,15.80626,NA
Central and Southern Asia,2005,Drinking water,Safely managed service,46.86552,38.49107,65.25332
Central and Southern Asia,2006,Sanitation,At least basic,37.91136,NA,62.74486
Central and Southern Asia,2006,Sanitation,Safely managed service,NA,17.74201,NA
Central and Southern Asia,2006,Drinking water,Safely managed service,47.98736,40.13203,64.95473
Central and Southern Asia,2007,Sanitation,At least basic,40.02739,NA,63.71296
Central and Southern Asia,2007,Sanitation,Safely managed service,NA,19.68627,NA
Central and Southern Asia,2007,Drinking water,Safely managed service,49.11398,41.79765,64.65986
Central and Southern Asia,2008,Sanitation,At least basic,42.1503,NA,64.68816
Central and Southern Asia,2008,Sanitation,Safely managed service,NA,21.63591,NA
Central and Southern Asia,2008,Drinking water,Safely managed service,50.24515,43.48736,64.36971
Central and Southern Asia,2009,Sanitation,At least basic,44.2797,NA,65.67686
Central and Southern Asia,2009,Sanitation,Safely managed service,NA,23.59193,NA
Central and Southern Asia,2009,Drinking water,Safely managed service,51.38633,45.20712,64.09036
Central and Southern Asia,2010,Sanitation,At least basic,46.41389,NA,66.67138
Central and Southern Asia,2010,Sanitation,Safely managed service,NA,25.55682,NA
Central and Southern Asia,2010,Drinking water,Safely managed service,52.52997,46.95048,63.81269
Central and Southern Asia,2011,Sanitation,At least basic,48.55168,NA,67.66649
Central and Southern Asia,2011,Sanitation,Safely managed service,NA,27.53406,NA
Central and Southern Asia,2011,Drinking water,Safely managed service,53.66973,48.7157,63.52442
Central and Southern Asia,2012,Sanitation,At least basic,50.69313,NA,68.6611
Central and Southern Asia,2012,Sanitation,Safely managed service,NA,29.52373,NA
Central and Southern Asia,2012,Drinking water,Safely managed service,54.80544,50.50225,63.22505
Central and Southern Asia,2013,Sanitation,At least basic,52.83321,NA,69.65944
Central and Southern Asia,2013,Sanitation,Safely managed service,NA,31.5189,NA
Central and Southern Asia,2013,Drinking water,Safely managed service,55.94108,52.30984,62.92761
Central and Southern Asia,2014,Sanitation,At least basic,54.96775,NA,70.65904
Central and Southern Asia,2014,Sanitation,Safely managed service,NA,33.52744,NA
Central and Southern Asia,2014,Drinking water,Safely managed service,57.0776,54.13751,62.63847
Central and Southern Asia,2015,Sanitation,At least basic,57.09958,NA,71.66012
Central and Southern Asia,2015,Sanitation,Safely managed service,NA,35.54304,NA
Central and Southern Asia,2015,Drinking water,Safely managed service,58.21002,55.98353,62.34876
Central and Southern Asia,2016,Sanitation,At least basic,59.25,NA,72.62497
Central and Southern Asia,2016,Sanitation,Safely managed service,NA,37.60426,NA
Central and Southern Asia,2016,Drinking water,Safely managed service,59.33779,57.84714,62.06036
Central and Southern Asia,2017,Sanitation,At least basic,61.39932,NA,73.63795
Central and Southern Asia,2017,Sanitation,Safely managed service,NA,39.66845,NA
Central and Southern Asia,2017,Drinking water,Safely managed service,60.41836,59.66296,61.77361
Eastern and South-Eastern Asia,2000,Sanitation,Safely managed service,31.6236,27.16267,27.53012
Eastern and South-Eastern Asia,2000,Drinking water,At least basic,81.47896,71.04766,NA
Eastern and South-Eastern Asia,2000,Drinking water,Safely managed service,NA,NA,90.62165
Eastern and South-Eastern Asia,2001,Sanitation,Safely managed service,32.03996,27.35202,27.61931
Eastern and South-Eastern Asia,2001,Drinking water,At least basic,81.91178,71.28334,NA
Eastern and South-Eastern Asia,2001,Drinking water,Safely managed service,NA,NA,90.716
Eastern and South-Eastern Asia,2002,Sanitation,Safely managed service,32.48645,27.71927,27.66455
Eastern and South-Eastern Asia,2002,Drinking water,At least basic,82.86645,72.40397,NA
Eastern and South-Eastern Asia,2002,Drinking water,Safely managed service,NA,NA,91.09564
Eastern and South-Eastern Asia,2003,Sanitation,Safely managed service,33.97424,28.47428,29.43429
Eastern and South-Eastern Asia,2003,Drinking water,At least basic,83.68618,73.32908,NA
Eastern and South-Eastern Asia,2003,Drinking water,Safely managed service,NA,NA,91.15012
Eastern and South-Eastern Asia,2004,Sanitation,Safely managed service,35.59412,29.39272,31.2172
Eastern and South-Eastern Asia,2004,Drinking water,At least basic,84.48934,74.25885,NA
Eastern and South-Eastern Asia,2004,Drinking water,Safely managed service,NA,NA,91.20111
Eastern and South-Eastern Asia,2005,Sanitation,Safely managed service,37.32774,30.44805,33.01498
Eastern and South-Eastern Asia,2005,Drinking water,At least basic,85.27433,75.19007,NA
Eastern and South-Eastern Asia,2005,Drinking water,Safely managed service,NA,NA,91.25333
Eastern and South-Eastern Asia,2006,Sanitation,Safely managed service,38.98084,31.63402,47.10946
Eastern and South-Eastern Asia,2006,Drinking water,At least basic,86.02717,76.11814,NA
Eastern and South-Eastern Asia,2006,Drinking water,Safely managed service,NA,NA,91.30223
Eastern and South-Eastern Asia,2007,Sanitation,Safely managed service,40.92075,32.98029,49.34464
Eastern and South-Eastern Asia,2007,Drinking water,At least basic,86.76188,77.05224,NA
Eastern and South-Eastern Asia,2007,Drinking water,Safely managed service,NA,NA,91.34697
Eastern and South-Eastern Asia,2008,Sanitation,Safely managed service,42.92491,34.41476,51.58202
Eastern and South-Eastern Asia,2008,Drinking water,At least basic,87.47944,77.98985,NA
Eastern and South-Eastern Asia,2008,Drinking water,Safely managed service,NA,NA,91.38956
Eastern and South-Eastern Asia,2009,Sanitation,Safely managed service,44.99587,35.95639,53.81483
Eastern and South-Eastern Asia,2009,Drinking water,At least basic,88.17916,78.93139,NA
Eastern and South-Eastern Asia,2009,Drinking water,Safely managed service,NA,NA,91.42844
Eastern and South-Eastern Asia,2010,Sanitation,Safely managed service,47.12727,37.59974,56.04229
Eastern and South-Eastern Asia,2010,Drinking water,At least basic,88.86084,79.8756,NA
Eastern and South-Eastern Asia,2010,Drinking water,Safely managed service,NA,NA,91.46367
Eastern and South-Eastern Asia,2011,Sanitation,Safely managed service,49.30906,39.3614,58.26981
Eastern and South-Eastern Asia,2011,Drinking water,At least basic,89.51576,80.83762,NA
Eastern and South-Eastern Asia,2011,Drinking water,Safely managed service,NA,NA,91.39248
Eastern and South-Eastern Asia,2012,Sanitation,Safely managed service,51.53404,41.22252,60.4883
Eastern and South-Eastern Asia,2012,Drinking water,At least basic,90.15001,81.8057,NA
Eastern and South-Eastern Asia,2012,Drinking water,Safely managed service,NA,NA,91.30893
Eastern and South-Eastern Asia,2013,Sanitation,Safely managed service,53.83686,43.25388,62.69732
Eastern and South-Eastern Asia,2013,Drinking water,At least basic,90.76707,82.77487,NA
Eastern and South-Eastern Asia,2013,Drinking water,Safely managed service,NA,NA,91.22131
Eastern and South-Eastern Asia,2014,Sanitation,Safely managed service,56.17451,45.37455,64.89211
Eastern and South-Eastern Asia,2014,Drinking water,At least basic,91.38614,83.77653,NA
Eastern and South-Eastern Asia,2014,Drinking water,Safely managed service,NA,NA,91.12989
Eastern and South-Eastern Asia,2015,Sanitation,Safely managed service,58.54426,47.58193,67.07541
Eastern and South-Eastern Asia,2015,Drinking water,At least basic,91.95059,84.70274,NA
Eastern and South-Eastern Asia,2015,Drinking water,Safely managed service,NA,NA,91.03078
Eastern and South-Eastern Asia,2016,Sanitation,Safely managed service,61.0574,49.83445,69.47776
Eastern and South-Eastern Asia,2016,Drinking water,At least basic,92.4738,85.58477,NA
Eastern and South-Eastern Asia,2016,Drinking water,Safely managed service,NA,NA,90.9235
Eastern and South-Eastern Asia,2017,Sanitation,Safely managed service,63.61769,52.16619,71.90205
Eastern and South-Eastern Asia,2017,Drinking water,At least basic,92.9913,86.49732,NA
Eastern and South-Eastern Asia,2017,Drinking water,Safely managed service,NA,NA,90.80264
Europe and Northern America,2000,Sanitation,At least basic,NA,88.825,NA
Europe and Northern America,2000,Sanitation,Safely managed service,69.40073,NA,78.9457
Europe and Northern America,2000,Drinking water,At least basic,NA,95.91912,NA
Europe and Northern America,2000,Drinking water,Safely managed service,90.29529,NA,96.51669
Europe and Northern America,2001,Sanitation,At least basic,NA,88.48926,NA
Europe and Northern America,2001,Sanitation,Safely managed service,69.3378,NA,79.18517
Europe and Northern America,2001,Drinking water,At least basic,NA,95.95423,NA
Europe and Northern America,2001,Drinking water,Safely managed service,90.38714,NA,96.55222
Europe and Northern America,2002,Sanitation,Safely managed service,68.9737,39.45146,79.43786
Europe and Northern America,2002,Drinking water,At least basic,NA,96.06469,NA
Europe and Northern America,2002,Drinking water,Safely managed service,90.50904,NA,96.59149
Europe and Northern America,2003,Sanitation,Safely managed service,69.34218,39.79559,79.70899
Europe and Northern America,2003,Drinking water,At least basic,NA,96.17217,NA
Europe and Northern America,2003,Drinking water,Safely managed service,90.63283,NA,96.62663
Europe and Northern America,2004,Sanitation,Safely managed service,69.7657,40.21896,80.02557
Europe and Northern America,2004,Drinking water,At least basic,NA,96.27961,NA
Europe and Northern America,2004,Drinking water,Safely managed service,90.93963,NA,96.63943
Europe and Northern America,2005,Sanitation,Safely managed service,70.18835,40.64371,80.34005
Europe and Northern America,2005,Drinking water,At least basic,NA,96.22518,NA
Europe and Northern America,2005,Drinking water,Safely managed service,93.46387,NA,96.69994
Europe and Northern America,2006,Sanitation,Safely managed service,71.89458,44.29131,81.27882
Europe and Northern America,2006,Drinking water,At least basic,NA,96.30267,NA
Europe and Northern America,2006,Drinking water,Safely managed service,93.67631,NA,96.70519
Europe and Northern America,2007,Sanitation,Safely managed service,72.27045,44.67597,81.55106
Europe and Northern America,2007,Drinking water,At least basic,NA,96.38288,NA
Europe and Northern America,2007,Drinking water,Safely managed service,93.88899,NA,96.71024
Europe and Northern America,2008,Sanitation,Safely managed service,72.64067,45.05244,81.8194
Europe and Northern America,2008,Drinking water,At least basic,NA,96.46191,NA
Europe and Northern America,2008,Drinking water,Safely managed service,94.09487,NA,96.71393
Europe and Northern America,2009,Sanitation,Safely managed service,73.10536,45.45081,82.20749
Europe and Northern America,2009,Drinking water,At least basic,NA,96.54352,NA
Europe and Northern America,2009,Drinking water,Safely managed service,94.29367,NA,96.71583
Europe and Northern America,2010,Sanitation,Safely managed service,73.55688,45.82382,82.58948
Europe and Northern America,2010,Drinking water,At least basic,NA,96.66642,NA
Europe and Northern America,2010,Drinking water,Safely managed service,94.49604,NA,96.71972
Europe and Northern America,2011,Sanitation,Safely managed service,73.99873,46.18842,82.9614
Europe and Northern America,2011,Drinking water,At least basic,NA,96.78885,NA
